Municipio;Branca;Preta;Parda;Indigena;Ignorado;Amarela;Total;Ano
410830 FOZ DO IGUACU;32;1;5;0;0;0;38;2020
410840 FRANCISCO BELTRAO;12;0;0;0;0;0;12;2020
410880 GUAIRA;0;0;1;1;0;0;2;2020
410930 GUARANIACU;1;0;0;0;0;0;1;2020
410965 HONORIO SERPA;1;0;0;0;0;0;1;2020
411095 ITAIPULANDIA;2;0;0;0;0;0;2;2020
411120 ITAPEJARA D'OESTE;2;0;1;0;0;0;3;2020
411275 JESUITAS;0;0;1;0;0;0;1;2020
411345 LINDOESTE;1;0;1;0;0;0;2;2020
411440 MANGUEIRINHA;6;0;0;1;0;0;7;2020
411460 MARECHAL CANDIDO RONDON;6;0;0;0;0;0;6;2020
411530 MARIOPOLIS;1;0;0;0;0;0;1;2020
411535 MARIPA;1;0;0;0;0;0;1;2020
411540 MARMELEIRO;1;0;0;0;0;0;1;2020
411560 MATELANDIA;0;0;1;0;0;0;1;2020
411580 MEDIANEIRA;7;3;1;0;0;0;11;2020
411605 MISSAL;1;0;0;0;0;0;1;2020
411670 NOVA AURORA;1;0;1;0;0;0;2;2020
411695 NOVA ESPERANCA DO SUDOESTE;2;0;0;0;0;0;2;2020
411725 NOVA PRATA DO IGUACU;1;0;0;0;0;0;1;2020
411745 OURO VERDE DO OESTE;2;0;0;0;0;0;2;2020
411760 PALMAS;8;0;4;1;0;0;13;2020
411790 PALOTINA;3;1;1;0;0;0;5;2020
411850 PATO BRANCO;7;0;1;0;0;0;8;2020
411980 PLANALTO;3;0;0;0;0;0;3;2020
412035 PRANCHITA;1;0;0;0;0;0;1;2020
412085 QUATRO PONTES;1;0;0;0;0;0;1;2020
412090 QUEDAS DO IGUACU;9;0;1;0;0;0;10;2020
412125 RAMILANDIA;1;0;0;0;0;0;1;2020
412140 REALEZA;1;0;0;0;0;0;1;2020
412300 SALTO DO LONTRA;1;0;0;0;0;0;1;2020
412350 SANTA HELENA;0;0;0;1;0;0;1;2020
412380 SANTA IZABEL DO OESTE;1;0;0;0;0;0;1;2020
412405 SANTA TEREZINHA DE ITAIPU;6;0;2;0;0;0;8;2020
412440 SANTO ANTONIO DO SUDOESTE;1;0;0;0;0;0;1;2020
412480 SAO JOAO;1;0;0;0;0;0;1;2020
412545 SAO JOSE DAS PALMEIRAS;1;0;0;0;0;0;1;2020
412570 SAO MIGUEL DO IGUACU;3;0;1;0;0;0;4;2020
412575 SAO PEDRO DO IGUACU;0;0;1;0;1;0;2;2020
412627 SAUDADE DO IGUACU;2;0;0;0;0;0;2;2020
412635 SERRANOPOLIS DO IGUACU;1;0;0;0;0;0;1;2020
412740 TERRA ROXA;1;0;0;0;0;0;1;2020
412770 TOLEDO;13;0;2;0;0;0;15;2020
412785 TRES BARRAS DO PARANA;2;0;0;0;0;0;2;2020
412860 VERE;1;0;0;0;0;0;1;2020
410100 AMPERE;4;0;1;0;0;;5;2015
410200 ASSIS CHATEAUBRIAND;5;0;1;0;0;;6;2015
410260 BARRACAO;0;0;1;0;0;;1;2015
410305 BOA VISTA DA APARECIDA;1;0;0;0;0;;1;2015
410315 BOM JESUS DO SUL;1;0;0;0;0;;1;2015
410335 BRAGANEY;1;0;0;0;1;;2;2015
410345 CAFELANDIA;1;0;1;0;0;;2;2015
410405 CAMPO BONITO;3;0;0;0;0;;3;2015
410450 CAPANEMA;2;0;0;0;0;;2;2015
410460 CAPITAO LEONIDAS MARQUES;2;0;0;0;0;;2;2015
410480 CASCAVEL;41;1;2;0;3;;47;2015
410530 CEU AZUL;2;0;0;0;0;;2;2015
410540 CHOPINZINHO;2;0;0;0;0;;2;2015
410570 CLEVELANDIA;4;0;1;0;0;;5;2015
410630 CORBELIA;4;0;0;0;0;;4;2015
410645 CORONEL DOMINGOS SOARES;2;0;0;0;0;;2;2015
410650 CORONEL VIVIDA;4;0;0;0;0;;4;2015
410720 DOIS VIZINHOS;3;0;0;0;0;;3;2015
410754 ESPIGAO ALTO DO IGUACU;0;0;0;2;0;;2;2015
410820 FORMOSA DO OESTE;0;0;0;0;1;;1;2015
410830 FOZ DO IGUACU;62;0;5;0;0;;67;2015
410840 FRANCISCO BELTRAO;6;0;0;1;1;;8;2015
410880 GUAIRA;6;0;1;0;0;;7;2015
410965 HONORIO SERPA;1;0;0;0;0;;1;2015
410975 IBEMA;3;0;0;0;0;;3;2015
411065 IRACEMA DO OESTE;1;0;0;0;0;;1;2015
411095 ITAIPULANDIA;1;0;0;1;0;;2;2015
411120 ITAPEJARA D'OESTE;1;0;0;0;0;;1;2015
411275 JESUITAS;1;0;0;0;0;;1;2015
411345 LINDOESTE;1;0;0;0;0;;1;2015
411440 MANGUEIRINHA;4;0;1;1;0;;6;2015
411460 MARECHAL CANDIDO RONDON;13;1;0;0;0;;14;2015
411530 MARIOPOLIS;0;0;1;0;0;;1;2015
411535 MARIPA;1;0;0;0;0;;1;2015
411560 MATELANDIA;3;0;0;0;0;;3;2015
411580 MEDIANEIRA;8;0;1;0;1;;10;2015
411585 MERCEDES;1;0;0;0;0;;1;2015
411605 MISSAL;4;0;0;0;0;;4;2015
411725 NOVA PRATA DO IGUACU;2;0;0;0;0;;2;2015
411745 OURO VERDE DO OESTE;0;0;1;0;0;;1;2015
411760 PALMAS;11;0;4;1;0;;16;2015
411790 PALOTINA;2;1;0;0;0;;3;2015
411845 PATO BRAGADO;1;0;0;0;0;;1;2015
411850 PATO BRANCO;11;1;0;0;0;;12;2015
411900 PEROLA D'OESTE;1;0;0;0;0;;1;2015
412090 QUEDAS DO IGUACU;2;0;0;0;0;;2;2015
412140 REALEZA;3;0;0;0;0;;3;2015
412160 RENASCENCA;1;0;0;0;0;;1;2015
412300 SALTO DO LONTRA;2;0;0;0;0;;2;2015
412350 SANTA HELENA;4;0;0;0;0;;4;2015
412402 SANTA TEREZA DO OESTE;3;0;0;0;0;;3;2015
412405 SANTA TEREZINHA DE ITAIPU;2;0;0;0;0;;2;2015
412440 SANTO ANTONIO DO SUDOESTE;2;0;0;0;0;;2;2015
412480 SAO JOAO;2;0;0;0;0;;2;2015
412520 SAO JORGE D'OESTE;2;0;0;0;0;;2;2015
412570 SAO MIGUEL DO IGUACU;4;0;1;1;0;;6;2015
412740 TERRA ROXA;2;0;0;1;0;;3;2015
412770 TOLEDO;14;0;2;0;2;;18;2015
412785 TRES BARRAS DO PARANA;1;0;0;0;0;;1;2015
412855 VERA CRUZ DO OESTE;1;0;1;1;0;;3;2015
412860 VERE;0;0;0;0;1;;1;2015
412870 VITORINO;1;0;0;0;0;;1;2015
